Elapsed time AscRate GpsHeightMSL      P   Temp   RH   Dewp Dir Speed
           s     m/s            m    hPa     ?C    %     ?C   ?   m/s
         288     6.3       2132.6 794.52   3.85 78.8   0.51  16  3.13
         289     6.1       2138.7 793.94   3.83 78.9   0.50  16  3.19
         290     5.7       2144.3 793.39   3.80 79.0   0.50  16  3.26
         291     5.3       2149.6 792.88   3.77 79.3   0.53  16  3.33
         292     5.2       2154.7 792.37   3.73 80.0   0.60  17  3.40
         293     5.2       2159.8 791.87   3.71 80.5   0.68  17  3.47
         294     5.5       2165.3 791.36   3.71 80.9   0.74  17  3.54
         295     5.8       2171.1 790.79   3.71 80.9   0.75  17  3.61
         296     6.1       2177.4 790.17   3.70 80.9   0.73  17  3.69
         297     6.1       2183.6 789.55   3.67 80.9   0.71  17  3.76
         298     5.8       2189.4 788.98   3.61 81.1   0.67  18  3.84
         299     5.4       2194.7 788.49   3.56 81.2   0.65  18  3.91
         300     5.3       2199.9 787.98   3.53 81.2   0.62  18  3.99
         301     5.4       2205.3 787.46   3.50 81.2   0.58  18  4.06
         302     5.8       2211.0 786.90   3.46 81.0   0.52  17  4.14
         303     6.3       2217.3 786.29   3.40 81.0   0.46  17  4.22
         304     6.7       2224.1 785.64   3.34 81.0   0.39  17  4.29
         305     6.9       2231.1 784.96   3.27 81.1   0.35  17  4.37
         306     6.8       2237.9 784.29   3.21 81.3   0.31  16  4.45
         307     6.5       2244.4 783.66   3.15 81.4   0.28  16  4.52
         308     6.2       2250.5 783.09   3.11 81.5   0.26  15  4.60
         309     6.1       2256.5 782.53   3.10 81.4   0.24  15  4.68
         310     6.2       2262.7 781.92   3.11 81.0   0.18  14  4.76
         311     6.3       2269.1 781.28   3.15 80.1   0.05  14  4.84
         312     6.1       2275.2 780.70   3.17 79.3  -0.06  13  4.92
         313     5.8       2281.0 780.15   3.17 79.0  -0.11  13  5.00
         314     5.5       2286.5 779.62   3.15 79.0  -0.13  12  5.09
         315     5.3       2291.7 779.11   3.13 78.9  -0.17  12  5.18
         316     5.2       2296.9 778.62   3.12 78.7  -0.22  11  5.26
         317     5.4       2302.1 778.12   3.10 78.8  -0.21  10  5.35
         318     5.7       2307.9 777.58   3.09 79.2  -0.16  10  5.44
         319     6.1       2314.0 776.98   3.06 79.3  -0.17   9  5.53
         320     6.2       2320.3 776.37   3.04 79.2  -0.20   9  5.62
         321     6.0       2326.3 775.77   3.02 79.1  -0.24   8  5.71
         322     5.7       2331.9 775.26   3.02 78.9  -0.28   8  5.80
         323     5.7       2337.5 774.75   3.05 78.5  -0.32   8  5.89
         324     6.0       2343.4 774.17   3.10 78.0  -0.36   7  5.99
         325     6.4       2349.8 773.55   3.14 77.4  -0.42   7  6.08
         326     6.9       2356.7 772.89   3.17 76.8  -0.50   7  6.17
         327     7.2       2364.0 772.20   3.17 76.5  -0.57   6  6.26
         328     7.4       2371.5 771.51   3.14 76.4  -0.61   6  6.35
         329     7.4       2379.0 770.79   3.10 76.4  -0.64   6  6.43
         330     7.0       2386.2 770.08   3.07 76.2  -0.70   6  6.52
         331     6.1       2392.3 769.50   3.03 76.1  -0.77   6  6.61
         332     5.3       2397.5 769.02   2.99 76.0  -0.82   6  6.70
         333     4.9       2402.2 768.59   2.97 75.9  -0.85   5  6.78
         334     5.1       2407.1 768.12   2.96 75.9  -0.86   5  6.86
         335     5.7       2412.8 767.57   2.92 76.3  -0.83   5  6.95
         336     6.4       2419.3 766.94   2.87 76.8  -0.79   5  7.03
         337     7.0       2426.3 766.28   2.81 77.3  -0.77   5  7.11
         338     7.3       2433.7 765.59   2.74 77.6  -0.78   5  7.19
         339     7.3       2441.1 764.89   2.68 77.8  -0.80   4  7.27
         340     7.1       2448.2 764.22   2.63 77.7  -0.86   4  7.35
         341     6.7       2455.0 763.59   2.60 77.4  -0.94   4  7.43
         342     6.2       2461.3 762.99   2.58 77.0  -1.04   4  7.50
         343     5.7       2467.0 762.45   2.55 76.6  -1.14   4  7.57
         344     5.4       2472.2 761.96   2.53 76.4  -1.20   3  7.64
         345     5.2       2477.4 761.49   2.50 76.4  -1.21   3  7.70
         346     5.4       2482.7 760.98   2.46 76.7  -1.21   3  7.77
         347     5.6       2488.3 760.45   2.41 77.0  -1.21   3  7.82
         348     5.7       2494.0 759.90   2.38 77.2  -1.20   3  7.88
         349     5.7       2499.7 759.36   2.35 77.4  -1.19   2  7.93
         350     5.6       2505.4 758.84   2.31 77.6  -1.20   2  7.97
         351     5.6       2510.9 758.32   2.25 77.9  -1.21   2  8.01
         352     5.6       2516.5 757.80   2.20 78.3  -1.18   2  8.04
         353     5.7       2522.3 757.25   2.16 78.7  -1.15   1  8.06
         354     5.8       2528.0 756.70   2.14 78.9  -1.14   1  8.08
         355     5.8       2533.8 756.16   2.12 78.8  -1.17   1  8.09
         356     6.0       2539.7 755.62   2.09 78.8  -1.20   1  8.09
         357     6.4       2546.0 755.04   2.07 78.7  -1.24   1  8.09
         358     6.8       2552.9 754.38   2.04 78.5  -1.30   1  8.07
         359     7.2       2560.2 753.70   2.00 78.2  -1.39   1  8.06
         360     7.3       2567.5 753.03   1.94 78.2  -1.45   1  8.03
         361     7.3       2574.8 752.35   1.87 78.4  -1.48   1  8.00
         362     7.1       2582.0 751.68   1.82 78.6  -1.50   1  7.96
         363     6.8       2588.8 751.04   1.77 78.5  -1.56   2  7.92
         364     6.4       2595.2 750.45   1.73 78.4  -1.62   2  7.87
         365     6.1       2601.2 749.89   1.70 78.5  -1.63   2  7.82
         366     5.9       2607.1 749.35   1.66 78.7  -1.63   3  7.77
         367     5.8       2612.9 748.81   1.62 79.0  -1.62   3  7.71
         368     5.9       2618.7 748.27   1.57 79.3  -1.62   3  7.65
         369     6.0       2624.8 747.71   1.51 79.5  -1.64   4  7.59
         370     6.1       2630.9 747.13   1.44 79.7  -1.68   4  7.54
         371     6.0       2637.0 746.57   1.37 79.9  -1.72   5  7.48
         372     5.8       2642.8 746.03   1.32 79.9  -1.75   5  7.42
         373     5.5       2648.3 745.51   1.29 80.0  -1.78   6  7.36
         374     5.3       2653.5 745.04   1.24 80.1  -1.80   7  7.31
         375     5.3       2658.6 744.57   1.19 80.4  -1.81   7  7.26
         376     5.6       2664.2 744.05   1.15 80.7  -1.80   8  7.21
         377     6.1       2670.4 743.48   1.11 80.9  -1.79   8  7.17
         378     6.6       2677.0 742.86   1.07 81.2  -1.79   9  7.13
         379     6.9       2684.0 742.22   1.02 81.4  -1.80   9  7.10
         380     7.0       2691.0 741.58   0.96 81.6  -1.82  10  7.06
         381     6.8       2697.9 740.95   0.91 81.8  -1.84  10  7.04
         382     6.6       2704.5 740.33   0.87 81.9  -1.87  11  7.02
         383     6.2       2710.8 739.75   0.83 81.9  -1.90  11  7.00
         384     5.9       2716.6 739.23   0.80 82.0  -1.92  11  6.99
         385     5.7       2722.2 738.71   0.77 82.1  -1.93  11  6.98
         386     5.6       2727.8 738.19   0.72 82.4  -1.92  11  6.97
         387     5.6       2733.3 737.68   0.68 82.6  -1.94  11  6.98
         388     5.8       2739.1 737.16   0.63 82.7  -1.97  11  6.98
         389     6.1       2745.2 736.59   0.58 82.8  -2.00  11  7.00
         390     6.3       2751.5 736.01   0.55 82.9  -2.02  11  7.02
         391     6.7       2758.1 735.42   0.52 82.9  -2.05  11  7.04
         392     7.0       2765.2 734.77   0.48 82.8  -2.10  11  7.07
         393     7.0       2772.3 734.11   0.44 82.6  -2.17  11  7.11
         394     6.8       2779.2 733.47   0.40 82.6  -2.21  10  7.15
         395     6.4       2785.7 732.88   0.35 82.7  -2.24  10  7.20
         396     6.1       2791.7 732.34   0.30 82.7  -2.30  10  7.26
         397     5.9       2797.5 731.82   0.25 82.6  -2.37   9  7.32
         398     6.1       2803.4 731.29   0.20 82.7  -2.39   9  7.39
         399     6.5       2809.9 730.70   0.15 83.1  -2.37   9  7.47
         400     6.9       2816.9 730.04   0.11 83.6  -2.33   8  7.55
         401     7.0       2824.0 729.40   0.08 83.9  -2.31   8  7.64
