Elapsed time AscRate GpsHeightMSL      P   Temp   RH   Dewp Dir Speed
           s     m/s            m    hPa     ?C    %     ?C   ?   m/s
        4425     6.6      26370.1  19.67 -57.92  0.7 -91.64 283 20.23
        4426     6.6      26376.8  19.65 -57.94  0.7 -91.63 283 20.25
        4427     6.6      26383.3  19.63 -57.96  0.7 -91.61 283 20.27
        4428     6.6      26389.8  19.61 -57.97  0.7 -91.58 283 20.28
        4429     6.7      26396.5  19.59 -57.95  0.7 -91.53 283 20.28
        4430     6.8      26403.4  19.57 -57.92  0.7 -91.48 283 20.28
        4431     6.9      26410.4  19.55 -57.89  0.7 -91.42 283 20.27
        4432     6.9      26417.3  19.52 -57.84  0.7 -91.36 283 20.26
        4433     6.9      26424.1  19.50 -57.80  0.7 -91.30 283 20.24
        4434     7.0      26431.1  19.48 -57.77  0.7 -91.25 283 20.21
        4435     7.0      26438.1  19.46 -57.76  0.7 -91.21 283 20.18
        4436     7.0      26445.2  19.44 -57.77  0.7 -91.18 283 20.15
        4437     6.8      26452.0  19.42 -57.79  0.7 -91.16 283 20.11
        4438     6.6      26458.5  19.40 -57.81  0.7 -91.15 283 20.08
        4439     6.6      26465.1  19.38 -57.84  0.7 -91.14 283 20.03
        4440     6.8      26471.9  19.36 -57.86  0.7 -91.12 283 19.99
        4441     7.0      26478.9  19.33 -57.87  0.7 -91.10 283 19.94
        4442     7.2      26486.1  19.31 -57.87  0.7 -91.06 283 19.89
        4443     7.1      26493.3  19.29 -57.87  0.7 -91.03 283 19.84
        4444     7.1      26500.3  19.27 -57.86  0.7 -91.00 283 19.79
        4445     7.0      26507.4  19.25 -57.86  0.7 -90.97 282 19.74
        4446     7.0      26514.4  19.23 -57.88  0.8 -90.95 282 19.69
        4447     6.9      26521.4  19.20 -57.91  0.8 -90.94 282 19.64
        4448     6.6      26527.9  19.18 -57.96  0.8 -90.94 282 19.59
        4449     6.3      26534.1  19.17 -58.02  0.8 -90.96 282 19.54
        4450     6.2      26540.2  19.15 -58.09  0.8 -90.98 282 19.48
        4451     6.4      26546.5  19.13 -58.17  0.8 -91.00 282 19.43
        4452     6.9      26553.4  19.11 -58.24  0.8 -91.03 282 19.39
        4453     7.4      26560.9  19.08 -58.32  0.8 -91.06 281 19.34
        4454     7.8      26568.8  19.06 -58.38  0.8 -91.08 281 19.29
        4455     7.8      26576.7  19.04 -58.45  0.8 -91.11 281 19.25
        4456     7.6      26584.3  19.01 -58.52  0.8 -91.14 281 19.20
        4457     7.2      26591.5  18.99 -58.59  0.8 -91.17 281 19.16
        4458     7.0      26598.4  18.97 -58.65  0.8 -91.20 280 19.13
        4459     6.9      26605.2  18.95 -58.72  0.8 -91.23 280 19.09
        4460     6.9      26612.1  18.93 -58.78  0.8 -91.26 280 19.06
        4461     7.1      26619.1  18.91 -58.84  0.8 -91.29 280 19.04
        4462     7.2      26626.4  18.89 -58.89  0.8 -91.32 279 19.02
        4463     7.4      26633.8  18.86 -58.92  0.8 -91.34 279 19.00
        4464     7.3      26641.2  18.84 -58.94  0.8 -91.35 279 18.99
        4465     7.2      26648.4  18.82 -58.94  0.8 -91.35 279 18.98
        4466     7.1      26655.4  18.80 -58.93  0.8 -91.34 279 18.98
        4467     7.1      26662.4  18.78 -58.91  0.8 -91.34 278 18.98
        4468     7.1      26669.6  18.76 -58.89  0.8 -91.33 278 18.99
        4469     7.2      26676.8  18.74 -58.86  0.8 -91.33 278 19.00
        4470     7.2      26684.0  18.71 -58.85  0.8 -91.33 278 19.02
        4471     7.1      26691.1  18.69 -58.84  0.8 -91.35 278 19.04
        4472     7.1      26698.2  18.67 -58.84  0.8 -91.38 278 19.06
        4473     7.0      26705.2  18.65 -58.86  0.8 -91.41 278 19.09
        4474     7.0      26712.1  18.63 -58.88  0.8 -91.46 278 19.12
        4475     7.1      26719.2  18.61 -58.90  0.8 -91.51 278 19.15
        4476     7.2      26726.4  18.59 -58.91  0.8 -91.55 278 19.19
        4477     7.2      26733.6  18.57 -58.92  0.8 -91.60 278 19.22
        4478     7.3      26740.9  18.54 -58.91  0.8 -91.63 277 19.26
        4479     7.4      26748.3  18.52 -58.89  0.8 -91.66 277 19.30
        4480     7.3      26755.7  18.50 -58.86  0.7 -91.68 277 19.34
        4481     7.2      26762.9  18.48 -58.82  0.7 -91.70 277 19.38
        4482     7.1      26769.9  18.46 -58.77  0.7 -91.72 277 19.41
        4483     7.1      26777.0  18.44 -58.72  0.7 -91.73 277 19.44
        4484     7.2      26784.2  18.42 -58.67  0.7 -91.75 277 19.47
        4485     7.2      26791.5  18.40 -58.63  0.7 -91.77 277 19.50
        4486     7.1      26798.5  18.37 -58.59  0.7 -91.78 277 19.52
        4487     7.0      26805.5  18.35 -58.55  0.7 -91.81 277 19.54
        4488     7.2      26812.6  18.33 -58.52  0.7 -91.83 277 19.55
        4489     7.3      26820.0  18.31 -58.49  0.7 -91.85 277 19.56
        4490     7.4      26827.5  18.29 -58.46  0.7 -91.88 276 19.56
        4491     7.4      26834.9  18.27 -58.43  0.7 -91.90 276 19.55
        4492     7.3      26842.2  18.25 -58.41  0.7 -91.93 276 19.54
        4493     7.2      26849.3  18.23 -58.39  0.7 -91.95 276 19.53
        4494     7.1      26856.4  18.21 -58.38  0.7 -91.98 276 19.50
        4495     7.1      26863.6  18.19 -58.38  0.7 -92.01 276 19.48
        4496     7.0      26870.6  18.17 -58.38  0.7 -92.04 276 19.44
        4497     7.0      26877.5  18.15 -58.37  0.7 -92.06 276 19.41
        4498     7.1      26884.6  18.13 -58.37  0.7 -92.09 276 19.36
        4499     7.2      26891.8  18.10 -58.36  0.6 -92.10 276 19.32
        4500     7.4      26899.2  18.08 -58.34  0.6 -92.11 276 19.28
        4501     7.4      26906.7  18.06 -58.32  0.6 -92.11 276 19.23
        4502     7.3      26914.1  18.04 -58.30  0.6 -92.11 276 19.19
        4503     7.2      26921.3  18.02 -58.27  0.6 -92.10 277 19.15
        4504     7.0      26928.3  18.00 -58.23  0.6 -92.09 277 19.11
        4505     6.8      26935.0  17.98 -58.20  0.6 -92.08 277 19.08
        4506     6.6      26941.6  17.96 -58.18  0.6 -92.07 277 19.05
        4507     6.7      26948.2  17.94 -58.16  0.6 -92.07 277 19.03
        4508     6.8      26955.0  17.92 -58.16  0.6 -92.07 278 19.02
        4509     7.0      26962.1  17.90 -58.16  0.6 -92.08 278 19.01
        4510     7.2      26969.4  17.88 -58.17  0.6 -92.09 278 19.01
        4511     7.1      26976.4  17.86 -58.16  0.6 -92.09 278 19.02
        4512     6.9      26983.3  17.84 -58.15  0.6 -92.09 279 19.03
        4513     7.0      26990.2  17.82 -58.13  0.6 -92.09 279 19.06
        4514     7.0      26997.3  17.80 -58.10  0.6 -92.08 279 19.08
        4515     7.0      27004.4  17.78 -58.07  0.6 -92.06 279 19.12
        4516     6.7      27011.1  17.76 -58.03  0.6 -92.05 280 19.16
        4517     6.4      27017.5  17.75 -57.99  0.6 -92.03 280 19.20
        4518     6.2      27023.6  17.73 -57.95  0.6 -92.01 280 19.24
        4519     6.3      27029.9  17.71 -57.92  0.6 -92.00 280 19.29
        4520     6.4      27036.3  17.69 -57.88  0.6 -92.00 281 19.34
        4521     6.4      27042.7  17.68 -57.86  0.6 -92.00 281 19.38
        4522     6.3      27049.0  17.66 -57.84  0.6 -92.00 281 19.42
        4523     6.1      27055.2  17.64 -57.83  0.6 -92.01 281 19.46
        4524     6.0      27061.1  17.62 -57.82  0.6 -92.02 282 19.49
        4525     5.8      27066.9  17.61 -57.81  0.6 -92.03 282 19.52
        4526     5.8      27072.7  17.59 -57.79  0.6 -92.04 282 19.54
        4527     5.8      27078.6  17.58 -57.77  0.6 -92.05 282 19.56
        4528     5.9      27084.5  17.56 -57.74  0.6 -92.05 283 19.57
        4529     6.0      27090.4  17.54 -57.71  0.6 -92.04 283 19.58
        4530     6.0      27096.4  17.53 -57.66  0.6 -92.02 283 19.58
        4531     6.1      27102.6  17.51 -57.61  0.6 -92.00 283 19.57
        4532     6.2      27108.8  17.49 -57.56  0.6 -91.98 284 19.56
        4533     6.3      27115.1  17.47 -57.51  0.6 -91.95 284 19.54
        4534     6.2      27121.3  17.46 -57.47  0.6 -91.93 284 19.52
        4535     6.0      27127.3  17.44 -57.44  0.6 -91.91 285 19.49
        4536     5.8      27133.1  17.42 -57.42  0.6 -91.89 285 19.47
        4537     5.7      27138.7  17.41 -57.40  0.6 -91.88 286 19.44
        4538     5.8      27144.5  17.39 -57.39  0.6 -91.87 286 19.41
        4539     5.8      27150.4  17.38 -57.38  0.6 -91.86 286 19.38
        4540     5.9      27156.2  17.36 -57.37  0.6 -91.85 287 19.35
        4541     6.0      27162.2  17.34 -57.36  0.6 -91.83 287 19.32
        4542     6.1      27168.2  17.33 -57.35  0.6 -91.81 288 19.30
        4543     6.2      27174.4  17.31 -57.35  0.6 -91.79 288 19.27
        4544     6.4      27180.8  17.29 -57.34  0.6 -91.77 288 19.25
        4545     6.3      27187.3  17.27 -57.34  0.6 -91.75 289 19.23
        4546     6.0      27193.3  17.26 -57.34  0.6 -91.73 289 19.21
        4547     5.7      27199.0  17.24 -57.35  0.6 -91.71 289 19.19
        4548     5.4      27204.4  17.23 -57.35  0.6 -91.69 290 19.17
        4549     5.3      27209.6  17.21 -57.36  0.6 -91.66 290 19.16
        4550     5.3      27214.9  17.20 -57.36  0.6 -91.63 290 19.14
        4551     5.5      27220.4  17.18 -57.36  0.6 -91.60 290 19.12
        4552     5.7      27226.2  17.17 -57.35  0.6 -91.56 291 19.09
        4553     5.7      27231.9  17.15 -57.35  0.6 -91.52 291 19.07
        4554     5.6      27237.6  17.14 -57.35  0.6 -91.48 291 19.04
        4555     5.6      27243.1  17.12 -57.36  0.6 -91.45 291 19.01
        4556     5.6      27248.8  17.11 -57.38  0.6 -91.42 291 18.97
        4557     5.7      27254.5  17.09 -57.40  0.7 -91.40 291 18.93
        4558     5.6      27260.1  17.08 -57.42  0.7 -91.38 292 18.89
        4559     5.6      27265.6  17.06 -57.45  0.7 -91.36 292 18.84
        4560     5.8      27271.3  17.05 -57.48  0.7 -91.34 292 18.78
        4561     6.1      27277.5  17.03 -57.51  0.7 -91.33 292 18.72
        4562     6.3      27283.9  17.01 -57.54  0.7 -91.31 292 18.65
        4563     6.3      27290.3  17.00 -57.56  0.7 -91.30 292 18.58
        4564     6.2      27296.4  16.98 -57.57  0.7 -91.28 292 18.51
        4565     6.2      27302.6  16.96 -57.58  0.7 -91.25 292 18.43
        4566     6.3      27308.9  16.95 -57.58  0.7 -91.23 292 18.35
        4567     6.4      27315.3  16.93 -57.58  0.7 -91.20 292 18.27
        4568     6.2      27321.6  16.91 -57.57  0.7 -91.17 292 18.19
        4569     5.8      27327.4  16.90 -57.57  0.7 -91.15 291 18.11
        4570     5.3      27332.6  16.88 -57.57  0.7 -91.12 291 18.02
        4571     5.2      27337.7  16.87 -57.57  0.7 -91.11 291 17.94
        4572     5.1      27342.9  16.85 -57.58  0.7 -91.09 291 17.86
        4573     5.1      27348.0  16.84 -57.60  0.7 -91.09 291 17.79
        4574     5.0      27353.0  16.83 -57.63  0.7 -91.09 291 17.71
        4575     4.9      27357.8  16.81 -57.67  0.7 -91.10 290 17.64
        4576     5.1      27362.9  16.80 -57.71  0.7 -91.12 290 17.58
        4577     5.4      27368.3  16.79 -57.76  0.7 -91.15 290 17.52
        4578     5.7      27374.0  16.77 -57.82  0.7 -91.18 289 17.46
        4579     5.9      27379.9  16.76 -57.87  0.7 -91.21 289 17.42
        4580     6.2      27386.1  16.74 -57.92  0.7 -91.24 288 17.38
        4581     6.4      27392.5  16.72 -57.97  0.7 -91.27 288 17.34
        4582     6.5      27399.1  16.70 -58.01  0.7 -91.29 287 17.32
        4583     6.5      27405.7  16.69 -58.04  0.7 -91.32 287 17.30
        4584     6.1      27411.9  16.67 -58.08  0.7 -91.34 286 17.29
        4585     5.7      27417.5  16.66 -58.11  0.7 -91.37 285 17.29
        4586     5.3      27422.7  16.64 -58.13  0.7 -91.39 285 17.29
        4587     5.3      27427.8  16.63 -58.15  0.7 -91.41 284 17.31
        4588     5.6      27433.4  16.61 -58.17  0.7 -91.43 283 17.33
        4589     5.9      27439.4  16.60 -58.19  0.7 -91.45 283 17.37
        4590     5.9      27445.4  16.58 -58.21  0.7 -91.47 282 17.41
        4591     5.8      27451.1  16.57 -58.22  0.7 -91.49 281 17.46
        4592     5.8      27456.9  16.55 -58.23  0.7 -91.51 281 17.52
        4593     5.8      27462.8  16.54 -58.24  0.7 -91.53 280 17.59
        4594     5.6      27468.4  16.52 -58.24  0.7 -91.54 280 17.67
        4595     5.5      27473.9  16.51 -58.23  0.7 -91.55 279 17.76
        4596     5.4      27479.2  16.49 -58.22  0.7 -91.55 278 17.85
        4597     5.6      27484.7  16.48 -58.20  0.7 -91.56 278 17.96
        4598     5.8      27490.5  16.46 -58.17  0.7 -91.56 277 18.07
        4599     5.8      27496.4  16.45 -58.14  0.7 -91.56 277 18.18
        4600     5.7      27502.1  16.43 -58.11  0.7 -91.56 277 18.30
        4601     5.6      27507.7  16.42 -58.08  0.7 -91.56 276 18.43
        4602     5.7      27513.4  16.40 -58.05  0.7 -91.57 276 18.56
        4603     5.6      27519.1  16.39 -58.02  0.7 -91.58 275 18.69
        4604     5.4      27524.5  16.37 -57.99  0.7 -91.59 275 18.82
        4605     5.1      27529.6  16.36 -57.96  0.7 -91.60 275 18.96
        4606     4.9      27534.4  16.35 -57.93  0.7 -91.61 275 19.10
        4607     4.9      27539.2  16.34 -57.90  0.7 -91.62 274 19.24
        4608     5.1      27544.3  16.32 -57.86  0.7 -91.63 274 19.37
        4609     5.4      27549.8  16.31 -57.82  0.7 -91.63 274 19.50
        4610     5.5      27555.3  16.30 -57.79  0.7 -91.63 274 19.63
        4611     5.6      27560.9  16.28 -57.76  0.7 -91.63 274 19.76
        4612     5.6      27566.5  16.27 -57.73  0.7 -91.64 273 19.88
        4613     5.5      27572.0  16.25 -57.71  0.6 -91.65 273 19.99
        4614     5.4      27577.5  16.24 -57.71  0.6 -91.66 273 20.09
        4615     5.2      27582.7  16.22 -57.71  0.6 -91.67 273 20.19
        4616     4.9      27587.6  16.21 -57.72  0.6 -91.70 273 20.28
        4617     4.8      27592.2  16.20 -57.75  0.6 -91.73 273 20.37
        4618     5.0      27597.2  16.19 -57.78  0.6 -91.76 272 20.44
        4619     5.4      27602.6  16.17 -57.83  0.6 -91.79 272 20.51
        4620     5.6      27608.3  16.16 -57.87  0.6 -91.82 272 20.57
        4621     5.7      27614.0  16.14 -57.92  0.6 -91.86 272 20.62
        4622     5.8      27619.8  16.13 -57.96  0.6 -91.88 272 20.67
        4623     5.7      27625.5  16.12 -57.98  0.6 -91.89 271 20.71
        4624     5.6      27631.2  16.10 -57.99  0.6 -91.89 271 20.75
        4625     5.4      27636.7  16.09 -57.98  0.6 -91.87 271 20.78
        4626     4.9      27641.6  16.07 -57.95  0.6 -91.84 271 20.81
        4627     4.5      27646.0  16.06 -57.91  0.6 -91.79 270 20.84
        4628     4.4      27650.2  16.05 -57.86  0.7 -91.73 270 20.86
        4629     4.9      27655.0  16.04 -57.80  0.7 -91.67 270 20.88
        4630     5.3      27660.6  16.02 -57.74  0.7 -91.61 269 20.90
        4631     5.3      27665.9  16.01 -57.68  0.7 -91.55 269 20.93
        4632     4.9      27670.8  16.00 -57.64  0.7 -91.50 269 20.95
        4633     4.8      27675.5  15.99 -57.60  0.7 -91.45 269 20.97
        4634     4.7      27680.2  15.98 -57.59  0.7 -91.42 268 21.00
        4635     4.8      27684.9  15.96 -57.59  0.7 -91.40 268 21.03
        4636     5.1      27690.0  15.95 -57.62  0.7 -91.40 268 21.05
        4637     5.4      27695.4  15.94 -57.66  0.7 -91.41 267 21.08
        4638     5.7      27701.1  15.92 -57.72  0.7 -91.43 267 21.12
        4639     6.0      27707.1  15.91 -57.78  0.7 -91.46 267 21.15
        4640     6.1      27713.3  15.89 -57.85  0.7 -91.49 267 21.18
        4641     5.9      27719.2  15.88 -57.92  0.7 -91.53 266 21.22
        4642     5.5      27724.7  15.86 -57.98  0.7 -91.56 266 21.25
        4643     5.3      27729.9  15.85 -58.04  0.7 -91.59 266 21.29
        4644     5.3      27735.1  15.84 -58.08  0.7 -91.61 266 21.32
        4645     5.4      27740.5  15.82 -58.13  0.7 -91.64 266 21.35
        4646     5.4      27745.9  15.81 -58.16  0.7 -91.65 265 21.39
        4647     5.6      27751.4  15.80 -58.18  0.7 -91.67 265 21.42
        4648     5.8      27757.3  15.78 -58.20  0.7 -91.67 265 21.45
        4649     5.8      27763.1  15.77 -58.21  0.7 -91.68 265 21.48
        4650     5.6      27768.7  15.75 -58.20  0.7 -91.67 265 21.50
        4651     5.5      27774.1  15.74 -58.19  0.7 -91.66 265 21.53
        4652     5.3      27779.5  15.73 -58.16  0.7 -91.64 265 21.55
        4653     5.1      27784.6  15.71 -58.13  0.7 -91.61 265 21.57
        4654     5.0      27789.5  15.70 -58.08  0.7 -91.58 264 21.59
        4655     5.2      27794.6  15.69 -58.04  0.7 -91.55 264 21.60
        4656     5.7      27800.4  15.67 -58.00  0.7 -91.52 264 21.61
        4657     6.1      27806.6  15.66 -57.97  0.7 -91.50 264 21.62
        4658     6.3      27812.9  15.64 -57.95  0.7 -91.49 264 21.62
        4659     6.3      27819.2  15.63 -57.94  0.7 -91.48 264 21.61
        4660     6.2      27825.4  15.61 -57.95  0.7 -91.49 264 21.60
        4661     6.1      27831.6  15.60 -57.97  0.7 -91.50 264 21.58
        4662     5.7      27837.3  15.58 -57.99  0.7 -91.53 264 21.56
        4663     5.2      27842.5  15.57 -58.03  0.7 -91.55 264 21.53
        4664     5.1      27847.3  15.56 -58.06  0.7 -91.58 264 21.49
        4665     5.4      27852.6  15.54 -58.09  0.7 -91.61 264 21.45
        4666     5.9      27858.5  15.53 -58.11  0.7 -91.63 264 21.39
        4667     6.3      27864.9  15.51 -58.12  0.7 -91.64 264 21.33
        4668     6.5      27871.4  15.50 -58.12  0.7 -91.65 264 21.27
        4669     6.4      27877.9  15.48 -58.11  0.7 -91.65 264 21.19
        4670     6.1      27884.0  15.47 -58.11  0.7 -91.65 264 21.11
        4671     5.9      27889.9  15.45 -58.11  0.7 -91.65 264 21.01
        4672     5.8      27895.6  15.44 -58.11  0.7 -91.65 264 20.92
        4673     5.7      27901.3  15.42 -58.12  0.7 -91.66 265 20.81
        4674     5.7      27907.0  15.41 -58.14  0.7 -91.67 265 20.70
        4675     5.8      27912.7  15.40 -58.16  0.7 -91.69 265 20.59
        4676     6.1      27918.8  15.38 -58.19  0.7 -91.71 265 20.47
        4677     6.4      27925.4  15.37 -58.21  0.7 -91.72 265 20.35
        4678     6.4      27932.0  15.35 -58.23  0.7 -91.73 265 20.23
        4679     6.0      27938.0  15.33 -58.25  0.7 -91.74 266 20.11
        4680     5.7      27943.5  15.32 -58.26  0.7 -91.74 266 19.99
        4681     5.7      27949.1  15.31 -58.26  0.7 -91.74 266 19.87
        4682     6.1      27955.2  15.29 -58.25  0.7 -91.72 266 19.76
        4683     6.5      27961.7  15.28 -58.24  0.7 -91.71 267 19.66
        4684     6.6      27968.5  15.26 -58.23  0.7 -91.69 267 19.56
        4685     6.4      27974.9  15.24 -58.21  0.7 -91.66 268 19.47
        4686     6.2      27981.0  15.23 -58.19  0.7 -91.64 268 19.39
        4687     6.2      27987.1  15.22 -58.17  0.7 -91.61 268 19.32
        4688     6.4      27993.5  15.20 -58.16  0.7 -91.58 269 19.26
        4689     6.5      28000.1  15.18 -58.14  0.7 -91.55 269 19.21
        4690     6.4      28006.5  15.17 -58.12  0.7 -91.52 269 19.17
        4691     6.2      28012.6  15.15 -58.10  0.7 -91.48 270 19.15
        4692     6.2      28018.8  15.14 -58.08  0.7 -91.44 270 19.13
        4693     6.4      28025.1  15.12 -58.06  0.7 -91.40 270 19.12
        4694     6.5      28031.7  15.11 -58.05  0.7 -91.37 271 19.12
        4695     6.6      28038.3  15.09 -58.06  0.7 -91.35 271 19.13
        4696     6.5      28044.8  15.08 -58.08  0.7 -91.34 271 19.14
        4697     6.4      28051.1  15.06 -58.12  0.7 -91.35 271 19.16
        4698     6.4      28057.5  15.05 -58.16  0.7 -91.36 272 19.19
        4699     6.4      28063.9  15.03 -58.21  0.7 -91.37 272 19.22
        4700     6.3      28070.3  15.02 -58.26  0.7 -91.38 272 19.26
        4701     6.2      28076.4  15.00 -58.31  0.7 -91.39 272 19.30
        4702     6.0      28082.4  14.99 -58.34  0.7 -91.40 272 19.34
        4703     6.0      28088.3  14.97 -58.37  0.7 -91.40 272 19.38
        4704     6.0      28094.3  14.96 -58.39  0.7 -91.39 272 19.43
        4705     6.1      28100.5  14.94 -58.41  0.7 -91.39 272 19.47
        4706     6.2      28106.7  14.93 -58.42  0.7 -91.38 272 19.52
        4707     6.1      28112.8  14.91 -58.44  0.7 -91.38 271 19.57
        4708     6.1      28118.8  14.90 -58.46  0.7 -91.38 271 19.61
        4709     6.2      28125.0  14.89 -58.49  0.7 -91.39 271 19.66
        4710     6.4      28131.4  14.87 -58.53  0.8 -91.41 271 19.71
        4711     6.6      28138.0  14.85 -58.57  0.8 -91.43 270 19.76
        4712     6.7      28144.7  14.84 -58.62  0.8 -91.46 270 19.81
        4713     6.8      28151.5  14.82 -58.68  0.8 -91.49 269 19.87
        4714     6.8      28158.3  14.81 -58.73  0.8 -91.52 269 19.92
        4715     6.9      28165.3  14.79 -58.79  0.8 -91.55 268 19.98
        4716     6.8      28172.1  14.77 -58.83  0.8 -91.58 268 20.04
        4717     6.5      28178.6  14.76 -58.87  0.8 -91.60 267 20.10
        4718     6.3      28184.8  14.74 -58.91  0.8 -91.62 267 20.17
        4719     6.2      28190.9  14.73 -58.93  0.8 -91.63 266 20.24
        4720     6.2      28197.1  14.72 -58.95  0.8 -91.64 266 20.31
        4721     6.4      28203.5  14.70 -58.96  0.8 -91.65 265 20.38
        4722     6.7      28210.2  14.69 -58.96  0.8 -91.65 265 20.46
        4723     6.9      28217.1  14.67 -58.96  0.8 -91.65 264 20.55
        4724     7.0      28224.2  14.65 -58.96  0.8 -91.66 264 20.64
        4725     7.1      28231.3  14.64 -58.95  0.8 -91.66 263 20.73
        4726     7.0      28238.3  14.62 -58.94  0.8 -91.66 263 20.83
        4727     6.9      28245.2  14.60 -58.93  0.8 -91.66 262 20.93
        4728     6.8      28252.1  14.59 -58.92  0.8 -91.66 262 21.04
        4729     6.7      28258.7  14.57 -58.91  0.8 -91.66 261 21.15
        4730     6.8      28265.5  14.56 -58.90  0.8 -91.67 261 21.27
        4731     7.0      28272.5  14.54 -58.89  0.7 -91.67 260 21.39
        4732     7.3      28279.8  14.52 -58.88  0.7 -91.68 260 21.52
        4733     7.4      28287.3  14.51 -58.88  0.7 -91.70 260 21.66
        4734     7.4      28294.8  14.49 -58.90  0.7 -91.73 259 21.80
        4735     7.2      28301.9  14.47 -58.93  0.7 -91.77 259 21.95
        4736     7.0      28308.9  14.46 -58.96  0.7 -91.82 259 22.11
        4737     6.9      28315.8  14.44 -59.01  0.7 -91.88 259 22.27
        4738     6.8      28322.6  14.42 -59.06  0.7 -91.94 259 22.43
        4739     6.8      28329.3  14.41 -59.12  0.7 -92.01 258 22.60
        4740     7.1      28336.4  14.39 -59.16  0.7 -92.07 258 22.77
        4741     7.3      28343.8  14.38 -59.20  0.7 -92.14 258 22.95
        4742     7.4      28351.3  14.36 -59.23  0.7 -92.19 258 23.12
        4743     7.3      28358.7  14.34 -59.24  0.7 -92.24 258 23.30
        4744     7.0      28365.7  14.32 -59.24  0.7 -92.29 258 23.48
        4745     6.7      28372.3  14.31 -59.22  0.7 -92.33 258 23.65
        4746     6.6      28378.8  14.30 -59.20  0.7 -92.36 258 23.82
        4747     7.0      28385.7  14.28 -59.16  0.7 -92.39 258 23.98
        4748     7.3      28393.1  14.26 -59.11  0.7 -92.41 259 24.14
        4749     7.4      28400.7  14.25 -59.04  0.7 -92.42 259 24.29
        4750     7.4      28408.0  14.23 -58.97  0.7 -92.43 259 24.43
        4751     7.2      28415.2  14.21 -58.89  0.7 -92.44 259 24.56
        4752     7.3      28422.4  14.20 -58.80  0.6 -92.44 259 24.68
        4753     7.3      28429.8  14.18 -58.70  0.6 -92.44 260 24.78
        4754     7.2      28437.1  14.16 -58.61  0.6 -92.45 260 24.87
        4755     6.9      28444.0  14.15 -58.53  0.6 -92.45 260 24.94
        4756     6.5      28450.4  14.13 -58.45  0.6 -92.46 260 25.00
        4757     6.5      28456.8  14.12 -58.38  0.6 -92.48 261 25.03
        4758     6.9      28463.7  14.10 -58.32  0.6 -92.51 261 25.06
        4759     7.3      28471.1  14.09 -58.28  0.6 -92.54 261 25.06
        4760     7.6      28478.8  14.07 -58.24  0.6 -92.58 262 25.05
        4761     7.7      28486.5  14.05 -58.21  0.6 -92.62 262 25.02
        4762     7.5      28494.0  14.04 -58.18  0.6 -92.66 263 24.98
        4763     7.4      28501.4  14.02 -58.16  0.6 -92.70 263 24.92
        4764     7.4      28508.7  14.00 -58.13  0.6 -92.74 264 24.85
        4765     7.5      28516.2  13.99 -58.10  0.6 -92.76 264 24.77
        4766     7.7      28524.1  13.97 -58.07  0.6 -92.78 264 24.67
        4767     7.7      28531.9  13.95 -58.02  0.5 -92.79 265 24.57
        4768     7.5      28539.4  13.93 -57.96  0.5 -92.78 265 24.46
        4769     7.3      28546.6  13.92 -57.89  0.5 -92.76 266 24.34
        4770     7.3      28553.9  13.90 -57.81  0.5 -92.73 266 24.21
        4771     7.4      28561.4  13.89 -57.72  0.5 -92.69 267 24.09
        4772     7.4      28568.9  13.87 -57.62  0.5 -92.64 267 23.95
        4773     7.2      28576.1  13.85 -57.53  0.5 -92.58 268 23.82
        4774     7.1      28583.0  13.84 -57.44  0.5 -92.52 268 23.68
        4775     7.1      28590.1  13.82 -57.36  0.5 -92.45 269 23.55
        4776     7.5      28597.5  13.81 -57.29  0.5 -92.39 269 23.42
        4777     7.9      28605.4  13.79 -57.23  0.5 -92.33 270 23.29
        4778     8.0      28613.6  13.77 -57.18  0.5 -92.27 270 23.16
        4779     7.8      28621.5  13.75 -57.15  0.5 -92.22 271 23.03
        4780     7.4      28628.8  13.74 -57.14  0.5 -92.17 271 22.91
        4781     7.0      28635.7  13.72 -57.13  0.6 -92.13 272 22.80
        4782     7.0      28642.6  13.71 -57.14  0.6 -92.09 272 22.69
        4783     7.1      28649.7  13.69 -57.16  0.6 -92.06 272 22.59
        4784     7.4      28657.1  13.68 -57.19  0.6 -92.02 273 22.49
        4785     7.7      28664.9  13.66 -57.22  0.6 -91.99 273 22.40
        4786     7.9      28672.9  13.64 -57.26  0.6 -91.95 274 22.32
        4787     7.9      28680.8  13.63 -57.30  0.6 -91.92 274 22.24
        4788     7.8      28688.6  13.61 -57.34  0.6 -91.89 274 22.17
        4789     7.7      28696.3  13.59 -57.38  0.6 -91.85 275 22.11
        4790     7.7      28704.0  13.58 -57.42  0.6 -91.82 275 22.06
        4791     7.6      28711.6  13.56 -57.46  0.6 -91.78 275 22.02
        4792     7.5      28719.1  13.54 -57.50  0.6 -91.74 275 21.99
        4793     7.3      28726.5  13.53 -57.54  0.6 -91.70 276 21.96
        4794     7.1      28733.6  13.51 -57.57  0.6 -91.66 276 21.95
        4795     7.1      28740.6  13.50 -57.61  0.6 -91.63 276 21.94
        4796     7.1      28747.7  13.48 -57.64  0.6 -91.59 276 21.94
        4797     7.1      28754.9  13.47 -57.67  0.7 -91.55 276 21.95
        4798     7.1      28761.9  13.45 -57.70  0.7 -91.52 276 21.96
        4799     7.0      28768.9  13.44 -57.74  0.7 -91.49 276 21.99
        4800     7.0      28775.8  13.42 -57.78  0.7 -91.47 276 22.02
